Undergraduate Institution,Total Applicants from the Institution,year
"San Diego State University, San Diego, CA",79,2020
"Texas Christian University, Fort Worth, TX",78,2020
"Oklahoma State University, Stillwater, OK",77,2020
"Oakland University, Rochester, MI",75,2020
"Rhodes College, Memphis, TN",75,2020
"Villanova University, Villanova, PA",75,2020
"Barnard College, New York, NY",73,2020
"Massachusetts Institute of Technology, Cambridge, MA",73,2020
"University of Colorado Denver | Anschutz Medical Campus, Denver, CO",73,2020
"Santa Clara University, Santa Clara, CA",72,2020
"Utah State University, Logan, UT",72,2020
"Brigham Young University-Idaho, Rexburg, ID",70,2020
"Georgia Southern University, Statesboro, GA",70,2020
"University of San Diego, San Diego, CA",69,2020
"East Carolina University, Greenville, NC",68,2020
"Marshall University, Huntington, WV",68,2020
"The College Of New Jersey, Ewing, NJ",68,2020
"James Madison University, Harrisonburg, VA",67,2020
"University of Toledo, Toledo, OH",66,2020
"College of Charleston, Charleston, SC",65,2020
"Vassar College, Poughkeepsie, NY",65,2020
"Wesleyan University, Middletown, CT",64,2020
"Amherst College, Amherst, MA",63,2020
"Pomona College, Claremont, CA",63,2020
"University of Texas at El Paso, El Paso, TX",63,2020
"Davidson College, Davidson, NC",62,2020
"East Tennessee State University, Johnson City, TN",62,2020
"University of Vermont, Burlington, VT",62,2020
"Augusta State University, Augusta, GA",61,2020
"Carnegie Mellon University, Pittsburgh, PA",61,2020
"City University of New York The City College, New York, NY",61,2020
"Nova Southeastern University, Fort Lauderdale, FL",61,2020
"Washington State University, Pullman, WA",61,2020
"Furman University, Greenville, SC",60,2020
"Northern Arizona University, Flagstaff, AZ",60,2020
"St. John's University, Queens, NY",60,2020
"State University of New York College at Geneseo, Geneseo, NY",60,2020
"Kent State University Kent Campus, Kent, OH",58,2020
"Rutgers University - Newark, Newark, NJ",58,2020
"Central Michigan University, Mount Pleasant, MI",57,2020
"Colgate University, Hamilton, NY",57,2020
"Spelman College, Atlanta, GA",57,2020
"Texas State University-San Marcos, San Marcos, TX",57,2020
"University of Portland, Portland, OR",57,2020
"Hofstra University, Hempstead, NY",56,2020
"University of Dayton, Dayton, OH",56,2020
"University of Michigan-Dearborn, Dearborn, MI",56,2020
"University of Missouri-Kansas City, Kansas City, MO",56,2020
"California Polytechnic State University-San Luis Obispo, San Luis Obispo, CA",55,2020
"Gonzaga University, Spokane, WA",55,2020
"Williams College, Williamstown, MA",55,2020
"Austin College, Sherman, TX",54,2020
"University of Central Arkansas, Conway, AR",54,2020
"Wellesley College, Wellesley, MA",54,2020
"Liberty University, Lynchburg, VA",52,2020
"University of St Thomas, Saint Paul, MN",52,2020
"California State University-Northridge, Northridge, CA",51,2020
"Louisiana Tech University, Ruston, LA",51,2020
"California State University-Long Beach, Long Beach, CA",50,2020
"The University of Akron, Main Campus, Akron, OH",50,2020
"United States Military Academy, West Point, NY",50,2020
"Yeshiva University (New York, NY), New York, NY",50,2020
